1.4517 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
43.0353 	EXP 	grating: ori = 1.0
43.0353 	EXP 	Fixation: autoDraw = True
44.0344 	EXP 	grating: autoDraw = True
44.0511 	EXP 	Fixation: autoDraw = False
44.3341 	EXP 	grating: autoDraw = False
52.3458 	EXP 	New trial (rep=10, index=0): None
52.3470 	DATA 	Keypress: down
52.3596 	EXP 	Fixation: autoDraw = False
52.3596 	EXP 	grating: autoDraw = False
52.3596 	EXP 	grating: ori = 0.0
52.3596 	EXP 	Fixation: autoDraw = True
53.3587 	EXP 	grating: autoDraw = True
53.3751 	EXP 	Fixation: autoDraw = False
53.6582 	EXP 	grating: autoDraw = False
54.2777 	EXP 	New trial (rep=11, index=0): None
54.2791 	DATA 	Keypress: up
54.2910 	EXP 	Fixation: autoDraw = False
54.2910 	EXP 	grating: autoDraw = False
54.2910 	EXP 	grating: ori = 3.0
54.2910 	EXP 	Fixation: autoDraw = True
55.2904 	EXP 	grating: autoDraw = True
55.3068 	EXP 	Fixation: autoDraw = False
55.5898 	EXP 	grating: autoDraw = False
56.1951 	EXP 	New trial (rep=12, index=0): None
56.1971 	DATA 	Keypress: down
56.2063 	EXP 	Fixation: autoDraw = False
56.2063 	EXP 	grating: autoDraw = False
56.2063 	EXP 	grating: ori = -1.0
56.2063 	EXP 	Fixation: autoDraw = True
57.2047 	EXP 	grating: autoDraw = True
57.2214 	EXP 	Fixation: autoDraw = False
57.5044 	EXP 	grating: autoDraw = False
57.8907 	EXP 	New trial (rep=13, index=0): None
57.8919 	DATA 	Keypress: up
57.9040 	EXP 	Fixation: autoDraw = False
57.9040 	EXP 	grating: autoDraw = False
57.9040 	EXP 	grating: ori = 0.0
57.9040 	EXP 	Fixation: autoDraw = True
58.9031 	EXP 	grating: autoDraw = True
58.9198 	EXP 	Fixation: autoDraw = False
59.2027 	EXP 	grating: autoDraw = False
60.0891 	EXP 	New trial (rep=14, index=0): None
60.0907 	DATA 	Keypress: down
60.1019 	EXP 	Fixation: autoDraw = False
60.1019 	EXP 	grating: autoDraw = False
60.1019 	EXP 	grating: ori = 0.0
60.1019 	EXP 	Fixation: autoDraw = True
61.1011 	EXP 	grating: autoDraw = True
61.1178 	EXP 	Fixation: autoDraw = False
61.4005 	EXP 	grating: autoDraw = False
64.3678 	EXP 	New trial (rep=15, index=0): None
64.3692 	DATA 	Keypress: down
64.3810 	EXP 	Fixation: autoDraw = False
64.3810 	EXP 	grating: autoDraw = False
64.3810 	EXP 	grating: ori = -1.0
64.3810 	EXP 	Fixation: autoDraw = True
65.3806 	EXP 	grating: autoDraw = True
65.3968 	EXP 	Fixation: autoDraw = False
65.6799 	EXP 	grating: autoDraw = False
66.3660 	EXP 	New trial (rep=16, index=0): None
66.3675 	DATA 	Keypress: up
66.3790 	EXP 	Fixation: autoDraw = False
66.3790 	EXP 	grating: autoDraw = False
66.3790 	EXP 	grating: ori = 0.0
66.3790 	EXP 	Fixation: autoDraw = True
67.3781 	EXP 	Fixation: autoDraw = False
67.3781 	EXP 	grating: autoDraw = True
67.6779 	EXP 	grating: autoDraw = False
68.2148 	EXP 	New trial (rep=17, index=0): None
68.2164 	DATA 	Keypress: up
68.2272 	EXP 	Fixation: autoDraw = False
68.2272 	EXP 	grating: autoDraw = False
68.2272 	EXP 	grating: ori = 0.0
68.2272 	EXP 	Fixation: autoDraw = True
69.2264 	EXP 	grating: autoDraw = True
69.2429 	EXP 	Fixation: autoDraw = False
